package_id,target_family,row_count,material_count,mapping_tier,model_admission_layer,source_independence_status,mapping_completeness_score,license,next_mapping_action
aged_vegetable_pu_foam_compression,aging_compression_transfer,90,1,commercial_foam_code_only,plant_based_PU_foam_aging_transfer,governed_materialization,0.35,CC-BY-4.0,补HDB/HA商业泡沫精确化学组成；保持动态压缩迁移层边界
commercial_tpu_energy_recovery_pairs,ambient_energy_recovery,6,3,commercial_grade_only,core_tpu_application_experimental,governed_materialization,0.35,CC-BY-4.0,补商业牌号化学组成或TDS
biobased_vitrimer_tensile_transfer,break_strength_elongation_transfer,20,2,formulation_code_synthesis_family_mapped,dynamic_network_vitrimer_transfer,governed_materialization,0.2,CC-BY-4.0,仅作动态网络迁移；补论文Table 1缩写映射且不并入TPU核心
recycled_pu_foam_compression_points,compression_curve_transfer,13159,9,commercial_foam_code_only,polyurethane_foam_transfer,governed_materialization,0.35,CC-BY-4.0,补HDB/HA商业泡沫精确化学组成；保持动态压缩迁移层边界
recycled_pu_foam_aggregate_scalars,compression_density_reference,27,9,commercial_foam_code_only,polyurethane_foam_transfer,governed_materialization,0.35,CC-BY-4.0,补HDB/HA商业泡沫精确化学组成；保持动态压缩迁移层边界
recycled_pu_foam_compression_endpoints,compression_energy_absorption_transfer,118,9,commercial_foam_code_only,polyurethane_foam_transfer,governed_materialization,0.35,CC-BY-4.0,补HDB/HA商业泡沫精确化学组成；保持动态压缩迁移层边界
commercial_tpu_impact_fatigue,compression_energy_and_cyclic_fatigue,196,5,commercial_grade_only,core_tpu_application_experimental,governed_materialization,0.35,CC-BY-4.0,补商业牌号化学组成或TDS
mdpi_pu_md_descriptors,computed_multiphysics_descriptors_reference,79,4,ratio_temperature_structure_unresolved,md_computed_descriptor_reference,governed_materialization,0.45,CC-BY-4.0,补聚醚唯一结构、随机种子和轨迹收敛；映射前训练权重0
mendeley_tpu_simulation_calibration_reference,computed_stress_strain_calibration_reference,13,1,TPU_grade_model_protocol_unresolved,simulation_calibration_reference,governed_materialization,0.1,CC-BY-4.0,补求解器、网格、材料参数和运行条件；闭合前权重0
conductive_self_healing_pu_recovery_summary,cut_stick_and_cyclic_recovery_summary,3,2,base_PU_exact_composition_blend_solution_fraction_mapped,conductive_crosslinked_PU_composite_transfer,governed_materialization,0.8,CC-BY-4.0,补PEDOT:PSS与PU溶液固含量以换算干基配比；保持交联PU迁移层边界
pcu85_single_fiber_cyclic_transfer,cyclic_force_displacement_transfer,152,1,material_code_only,single_fiber_polyurethane_auxiliary,governed_materialization,0.25,CC0-1.0,恢复材料代码对应配方
iir_oh_100cycle_endpoints,cyclic_hysteresis_and_peak_stress_retention,600,2,polymer_family_diisocyanate_code_mapped,polyurethane_adjacent_experimental,governed_materialization,0.7,CC-BY-4.0,闭合数字配方代码语义与水解协议并补同配方TGA
qub_self_healing_cycle_proxy,cyclic_hysteresis_proxy,6,1,monomer_set_hard_segment_mapped,core_tpu_experimental,governed_materialization,0.88,CC-BY-4.0,补Pripol 2033与HEDS逐配方精确摩尔投料和唯一结构
drum_cycle,cyclic_recovery,240,22,component_topology_mapped_partial,core_tpuu_experimental,governed_materialization,0.85,CC0-1.0,补PMCL区域异构分布与逐配方完整投料
low_ceiling_cycle,cyclic_recovery,80,4,formulation_code_only,core_tpuu_experimental,governed_materialization,0.3,CC0-1.0,从正文或SI恢复组分和比例
shpu_recovery_loading,cyclic_recovery_transfer_proxy,2,1,material_code_only,supramolecular_PU_transfer,governed_materialization,0.25,CC-BY-4.0,恢复材料代码对应配方
dib_shape_memory_cycle_proxy,cyclic_stress_retention_hysteresis_transfer,240,12,monomer_set_molar_composition_mapped,polyurethane_transfer,governed_materialization,0.92,CC-BY-4.0,补物理试样跨工作簿身份；保持交联PU迁移层边界
self_healing_4tu_cut_recovery_pairs,direct_compression_cut_healing_recovery,10,2,source_specific_SH_TPU_exact_ratio_and_Ninjaflex_grade,core_TPU_healing_experimental,governed_materialization,0.75,CC-BY-4.0,保留SH-TPU精确投料与Ninjaflex商业对照分层；补同体系拉伸韧性
elastollan_pcl_shape_memory_summary,direct_shape_fixity_and_recovery,3,3,commercial_grade_blend_fraction_mapped,core_tpu_blend_published_summary,governed_materialization,0.75,paper-license-unverified-facts-only,补原始曲线、重复数、不确定性及同配方TGA
tpu_print_compression_doe,discrete_compression_energy_absorption_application,344,2,commercial_identity_unresolved,core_TPU_application_experimental,governed_materialization,0.15,CC-BY-4.0,确认商业TPU基体身份
dynamic_pu_foam_compression_energy,dynamic_compression_energy_absorption_transfer,12,2,commercial_foam_code_only,dynamic_PU_foam_transfer,governed_materialization,0.35,CC-BY-4.0,补HDB/HA商业泡沫精确化学组成；保持动态压缩迁移层边界
microporous_pu_shpb_transfer,dynamic_impact_peak_stress_transfer,9,3,density_grade_only,microporous_PU_dynamic_transfer,governed_materialization,0.4,CC-BY-4.0,补微孔PU化学配方与试样重复；保留DMA/SHPB动态迁移边界
tpu_footwear_wear_summary,environmental_wear_durability_application,12,3,commercial_grade_color_supplier_partial,commercial_footwear_elastomer_application,governed_materialization,0.45,CC-BY-4.0,补eTPU/TPU/PEBA精确商品型号；保留颜色与供应商映射状态
recycled_pu_foam_formulation_components,formulation_sustainability_reference,39,11,commercial_foam_code_only,polyurethane_foam_transfer,governed_materialization,0.35,CC-BY-4.0,补HDB/HA商业泡沫精确化学组成；保持动态压缩迁移层边界
iir_oh_hydrolytic_retention,hydrolytic_mechanical_retention,6,2,polymer_family_diisocyanate_code_mapped,polyurethane_adjacent_experimental,governed_materialization,0.7,CC-BY-4.0,闭合数字配方代码语义与水解协议并补同配方TGA
shpu_interfacial_toughness,interfacial_toughness_auxiliary,3,3,material_code_only,supramolecular_PU_transfer,governed_materialization,0.25,CC-BY-4.0,恢复材料代码对应配方
tpu95a_load_extension_auxiliary,load_extension_auxiliary_not_toughness,3,1,commercial_grade_only,core_tpu_application_experimental,historical_mirror_rematerialized_zero_new_source,0.35,CC-BY-4.0,补商业牌号化学组成或TDS
