gold_layer,task_id,target_name,unit,configured_role,rows_total,rows_model_ready,rows_finite_valid_structure_positive_weight,invalid_or_missing_structure_rows,structure_identity_statuses,citation_keys,source_ids,valid_rows_with_exactly_two_stars,hard_groups_train,hard_groups_validation,hard_groups_test,primary_hard_groups_train,primary_hard_groups_validation,primary_hard_groups_test,source_family_count,eligible_leave_one_source_family_out_count,fair_primary_evaluation,training_status,status_reason,multifidelity_pairing_status,structure_applicability_warning
Gold-C,计算_结构多任务预训练,Tg,degC,exploratory_only,261,261,261,0,rdkit_validated_polymer_psmiles,ledger-156-liu-2025-open-polymer-challenge-data;ledger-157-liu-2025-open-polymer-challenge-report,source_openpolymer_challenge_v1,261,209,28,24,14,6,1,1,0,False,exploratory_not_fairly_evaluable,primary validation/test 硬组不足，不输出公平比较模型,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,Cp,J/(kg*K),not_configured,6597,6597,6597,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,6597,5177,651,619,2604,328,332,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,Cv,J/(kg*K),not_configured,6597,6597,6597,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,6597,5177,651,619,2604,328,332,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,Density,g/cm^3,not_configured,1526,1526,1526,0,rdkit_validated_polymer_psmiles,ledger-156-liu-2025-open-polymer-challenge-data;ledger-157-liu-2025-open-polymer-challenge-report,source_openpolymer_challenge_v1,1526,1207,170,149,101,11,13,1,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,FFV,dimensionless,not_configured,223,223,223,0,rdkit_validated_polymer_psmiles,ledger-156-liu-2025-open-polymer-challenge-data;ledger-157-liu-2025-open-polymer-challenge-report,source_openpolymer_challenge_v1,223,176,26,21,13,6,1,1,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,HOMO_Boltzmann_average,eV,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,HOMO_minus_1_Boltzmann_average,eV,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,LUMO_Boltzmann_average,eV,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,LUMO_plus_1_Boltzmann_average,eV,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,Scaled Rg,source_native_unit_unresolved,not_configured,6588,0,0,0,,ledger-020-polyomics-2025;ledger-151-hayashi-2026-polyomics-data,,0,0,0,0,0,0,0,0,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
