source_id,material_id,material_family,supplier,hardness_shore_A,relative_density_pct,abrasion_mass_loss_pct,reported_replicate_count,tribology_standard,motion_path,sliding_cycles_per_min,total_cycles,abrasive_surface,normal_load_g,test_temperature_degC,relative_humidity_pct,source_numeric_level,raw_abrasion_workbook_available,target_role,model_admission_layer,sample_weight_ceiling,split_group,license,citation_keys
source_zenodo_18149651_v1,PEBA_XinboChuan_85A_yellow,polyether_block_amide,"Xinbo Chuan (Shenzhen, China)",85,30,0.64,3,KS_M_ISO_12947,Lissajous,30,200,200_grit_sandpaper,500,25,55,published_article_condition_summary,False,wear_durability_environmental_application,commercial_elastomer_auxiliary,0.15,10.5281/zenodo.18149651|PEBA_XinboChuan_85A_yellow,CC-BY-4.0,reference-201;reference-202
source_zenodo_18149651_v1,PEBA_XinboChuan_85A_yellow,polyether_block_amide,"Xinbo Chuan (Shenzhen, China)",85,40,0.48,3,KS_M_ISO_12947,Lissajous,30,200,200_grit_sandpaper,500,25,55,published_article_condition_summary,False,wear_durability_environmental_application,commercial_elastomer_auxiliary,0.15,10.5281/zenodo.18149651|PEBA_XinboChuan_85A_yellow,CC-BY-4.0,reference-201;reference-202
source_zenodo_18149651_v1,PEBA_XinboChuan_85A_yellow,polyether_block_amide,"Xinbo Chuan (Shenzhen, China)",85,50,0.43,3,KS_M_ISO_12947,Lissajous,30,200,200_grit_sandpaper,500,25,55,published_article_condition_summary,False,wear_durability_environmental_application,commercial_elastomer_auxiliary,0.15,10.5281/zenodo.18149651|PEBA_XinboChuan_85A_yellow,CC-BY-4.0,reference-201;reference-202
source_zenodo_18149651_v1,PEBA_XinboChuan_85A_yellow,polyether_block_amide,"Xinbo Chuan (Shenzhen, China)",85,70,0.33,3,KS_M_ISO_12947,Lissajous,30,200,200_grit_sandpaper,500,25,55,published_article_condition_summary,False,wear_durability_environmental_application,commercial_elastomer_auxiliary,0.15,10.5281/zenodo.18149651|PEBA_XinboChuan_85A_yellow,CC-BY-4.0,reference-201;reference-202
source_zenodo_18149651_v1,TPU_Rosh_95A_white,thermoplastic_polyurethane,"Rosh (Guangzhou, China)",95,30,2.89,3,KS_M_ISO_12947,Lissajous,30,200,200_grit_sandpaper,500,25,55,published_article_condition_summary,False,wear_durability_environmental_application,core_TPU_application_experimental,0.15,10.5281/zenodo.18149651|TPU_Rosh_95A_white,CC-BY-4.0,reference-201;reference-202
source_zenodo_18149651_v1,TPU_Rosh_95A_white,thermoplastic_polyurethane,"Rosh (Guangzhou, China)",95,40,2.84,3,KS_M_ISO_12947,Lissajous,30,200,200_grit_sandpaper,500,25,55,published_article_condition_summary,False,wear_durability_environmental_application,core_TPU_application_experimental,0.15,10.5281/zenodo.18149651|TPU_Rosh_95A_white,CC-BY-4.0,reference-201;reference-202
source_zenodo_18149651_v1,TPU_Rosh_95A_white,thermoplastic_polyurethane,"Rosh (Guangzhou, China)",95,50,2.46,3,KS_M_ISO_12947,Lissajous,30,200,200_grit_sandpaper,500,25,55,published_article_condition_summary,False,wear_durability_environmental_application,core_TPU_application_experimental,0.15,10.5281/zenodo.18149651|TPU_Rosh_95A_white,CC-BY-4.0,reference-201;reference-202
source_zenodo_18149651_v1,TPU_Rosh_95A_white,thermoplastic_polyurethane,"Rosh (Guangzhou, China)",95,70,2.72,3,KS_M_ISO_12947,Lissajous,30,200,200_grit_sandpaper,500,25,55,published_article_condition_summary,False,wear_durability_environmental_application,core_TPU_application_experimental,0.15,10.5281/zenodo.18149651|TPU_Rosh_95A_white,CC-BY-4.0,reference-201;reference-202
source_zenodo_18149651_v1,eTPU_eSUN_95A_orange,expanded_thermoplastic_polyurethane,"eSUN (Shenzhen, China)",95,30,1.3,3,KS_M_ISO_12947,Lissajous,30,200,200_grit_sandpaper,500,25,55,published_article_condition_summary,False,wear_durability_environmental_application,core_TPU_application_experimental,0.15,10.5281/zenodo.18149651|eTPU_eSUN_95A_orange,CC-BY-4.0,reference-201;reference-202
source_zenodo_18149651_v1,eTPU_eSUN_95A_orange,expanded_thermoplastic_polyurethane,"eSUN (Shenzhen, China)",95,40,1.9,3,KS_M_ISO_12947,Lissajous,30,200,200_grit_sandpaper,500,25,55,published_article_condition_summary,False,wear_durability_environmental_application,core_TPU_application_experimental,0.15,10.5281/zenodo.18149651|eTPU_eSUN_95A_orange,CC-BY-4.0,reference-201;reference-202
source_zenodo_18149651_v1,eTPU_eSUN_95A_orange,expanded_thermoplastic_polyurethane,"eSUN (Shenzhen, China)",95,50,1.9,3,KS_M_ISO_12947,Lissajous,30,200,200_grit_sandpaper,500,25,55,published_article_condition_summary,False,wear_durability_environmental_application,core_TPU_application_experimental,0.15,10.5281/zenodo.18149651|eTPU_eSUN_95A_orange,CC-BY-4.0,reference-201;reference-202
source_zenodo_18149651_v1,eTPU_eSUN_95A_orange,expanded_thermoplastic_polyurethane,"eSUN (Shenzhen, China)",95,70,1.94,3,KS_M_ISO_12947,Lissajous,30,200,200_grit_sandpaper,500,25,55,published_article_condition_summary,False,wear_durability_environmental_application,core_TPU_application_experimental,0.15,10.5281/zenodo.18149651|eTPU_eSUN_95A_orange,CC-BY-4.0,reference-201;reference-202
