file_name,field_name,dtype,nullable,allowed_values_if_small_enum,definition
候选结构.csv.gz,release_id,object,False,tpu-usable-2026-07-21-v1,可用数据集冻结版本
候选结构.csv.gz,gold_layer,object,False,Gold-V,来源参考层：Gold-V、Gold-C或Gold-E
候选结构.csv.gz,candidate_id,object,False,,稳定候选结构主键
候选结构.csv.gz,source_id,object,False,ds_smipoly_monomers | source_omg_batch10 | source_openpolymer_challenge_v1 | source_zenodo_11612378_purgen_fragments | source_zenodo_12585902_polyuniverse_pu,来源或物化视图标识
候选结构.csv.gz,source_family_id,object,False,family_omg_batch10 | family_openpolymer_challenge_2025 | family_polyuniverse_virtual_polymers | family_purgen_virtual_fragments | family_smipoly,同一论文、数据集及附件共享的来源族
候选结构.csv.gz,source_record_id,object,False,,来源内部记录标识
候选结构.csv.gz,source_locator,object,False,,可复核到原始文件、数据记录或行的定位信息
候选结构.csv.gz,preferred_name,object,True,,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,raw_smiles,object,False,,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,canonical_smiles,object,False,,候选结构的规范SMILES或pSMILES
候选结构.csv.gz,inchikey,object,False,,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,molecular_formula_calculated,object,False,,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,molecular_weight_calculated_g_mol,float64,False,,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,exact_mass_g_mol,float64,False,,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,formal_charge,int64,False,-1 | -2 | -3 | -4 | -5 | -6 | 0 | 1 | 2 | 3,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,isocyanate_group_count,int64,False,0 | 1 | 2 | 3 | 4 | 5 | 6,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,hydroxyl_group_count,int64,False,,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,amine_group_count,int64,False,,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,thiol_group_count,int64,False,0 | 1 | 12 | 2 | 3 | 4 | 6 | 7,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,carboxylic_acid_group_count,int64,False,0 | 1 | 14 | 2 | 25 | 3 | 4 | 5 | 6 | 7,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,cyclic_carbonate_group_count,int64,False,0 | 1 | 3,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,epoxide_group_count,int64,False,0 | 1 | 11 | 18 | 2 | 3 | 4 | 5 | 6 | 7,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,tpu_role,object,False,,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,role_confidence,object,False,none | reference_only | rule_high | rule_medium | source_defined_high | transfer_medium,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,screening_scope,object,False,adjacent_model_compound | adjacent_reactive_building_block | direct_tpu_building_block | general_polymer_md_transfer_reference | mixture_or_salt_reference | not_synthesis_candidate | polyol_synthesis_precursor | tpuu_or_nipu_building_block | unresolved | virtual_polyurethane_fragment | virtual_tpu_repeat_unit_candidate,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,screening_priority,int64,False,1 | 2 | 3 | 4 | 5 | 9,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,functional_group_match,bool,False,False | True,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,candidate_use,object,False,adjacent_chemistry | direct_building_block | reference_only | transfer_reference | virtual_repeat_unit,直接构件、虚拟重复单元、相邻化学或迁移参考
候选结构.csv.gz,screening_ready,bool,False,False | True,候选是否通过结构级初筛门
候选结构.csv.gz,linear_component_class,object,False, | chain_extender_diol | diisocyanate | macrodiol,线性TPU主路线的二异氰酸酯、二醇扩链剂或宏二醇
候选结构.csv.gz,linear_tpu_building_block_ready,bool,False,False | True,是否通过中性、单组分、双官能且无竞争官能团门
候选结构.csv.gz,candidate_priority_weight,float64,False,0.0 | 0.05 | 0.125 | 0.5 | 0.75 | 1.0,仅用于候选排序的先验权重，不能进入性能监督
候选结构.csv.gz,development_split,object,False,test | train | validation,按hard_group固定生成的train/validation/test
候选结构.csv.gz,source_holdout_fold,int64,False,0 | 2 | 3 | 4,按来源族固定生成的五折严格外推编号
候选结构.csv.gz,structure_status,object,False,rdkit_validated | rdkit_validated_mixture_or_salt_reference | rdkit_validated_not_synthesis_candidate | rdkit_validated_polymer_psmiles;inchikey_formula_and_descriptors_from_methyl_capped_proxy | rdkit_validated_strict,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,gold_admission_status,object,False,admitted_reference | conditional_reference,参考层准入状态
候选结构.csv.gz,data_origin,object,False,enumeration | reaction_rule_generated | virtual,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,fidelity_level,object,False,candidate_fragment_3d | candidate_structure,实验/计算/虚拟数据的保真度描述
候选结构.csv.gz,prediction_uncertainty,float64,True,,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,generation_rule_version,object,False,OMG-v1.0b-reaction_idx-6 | OpenPolymerChallenge-v1-official-test | polyuniverse-dinco-audit-v2 | purgen-fragment-audit-v1 | smipoly-rdkit-role-v1,继承自冻结Gold参考层或本发布汇总；详见Gold数据集定义与使用说明。
候选结构.csv.gz,license_spdx,object,True,BSD-3-Clause | CC-BY-4.0 | GPL-3.0-or-later | MIT,候选来源的SPDX许可证
候选结构.csv.gz,license_status,object,False,allow_with_attribution | manual_review,来源总账中的训练/再分发权利状态
