release_id,source_directory,target_family,priority_score,priority_class,audit_status,already_in_directed_target,machine_readable_file_count,archive_file_count,formulation_signal,raw_curve_signal,next_action,evidence_excerpt
tpu-local-source-audit-2026-08-30-v1,ACS_Figshare_双相演化聚氨酯,cyclic_recovery,21,high,materialized_all_detected_targets,True,5,0,True,True,已接入；仅在新增独立数据或改进映射时更新,曲线审计清单.tsv
tpu-local-source-audit-2026-08-30-v1,ACS_Figshare_双相演化聚氨酯,thermal_stability,21,high,materialized_all_detected_targets,True,5,0,True,True,已接入；仅在新增独立数据或改进映射时更新,曲线审计清单.tsv
tpu-local-source-audit-2026-08-30-v1,ACS_Figshare_双相演化聚氨酯,toughness,21,high,materialized_all_detected_targets,True,5,0,True,True,已接入；仅在新增独立数据或改进映射时更新,曲线审计清单.tsv
tpu-local-source-audit-2026-08-30-v1,DRUM_TPUU_低天花板,cyclic_recovery,21,high,materialized_all_detected_targets,True,353,10,True,True,已接入；仅在新增独立数据或改进映射时更新,曲线审计清单.tsv | 解包内容/Chemdraws/Figure 2- Synthesis of end-blocked PMVL with phenyl isocyanate.cdxml | 解包内容/Chemdraws/Figure 2- Synthesis of end-blocked PMVL with phenyl isocyanate.png | 解包内容/Chemdraws/Scheme 1 PMVL Synthesis.cdxml | 解包内容/Chemdraws/Scheme 1 PMVL Synthesis.png | 解包内容/Chemdraws/Scheme 3- Synthesis of TPUUs.cdxml | 解包内容/Chemdraws/Scheme 3- Synthesis of TPUUs.png | 解包内容/Raw_DSC/PMVL_PCL_f_0.25_DSC.xls | 解包内容/Raw_DSC/PMVL_PCL_f_0.4_DSC.xls | 解包内容/Raw_DSC/PMVL_PCL_f_0.5_DSC.xls | 解包内容/Raw_DSC/PMVL_PCL_f_0.6_DSC.xls | 解包内容/Raw_DSC/PMVL_PCL_f_0.75_DSC.xls
tpu-local-source-audit-2026-08-30-v1,DRUM_TPUU_低天花板,thermal_stability,21,high,materialized_all_detected_targets,True,353,10,True,True,已接入；仅在新增独立数据或改进映射时更新,曲线审计清单.tsv | 解包内容/Chemdraws/Figure 2- Synthesis of end-blocked PMVL with phenyl isocyanate.cdxml | 解包内容/Chemdraws/Figure 2- Synthesis of end-blocked PMVL with phenyl isocyanate.png | 解包内容/Chemdraws/Scheme 1 PMVL Synthesis.cdxml | 解包内容/Chemdraws/Scheme 1 PMVL Synthesis.png | 解包内容/Chemdraws/Scheme 3- Synthesis of TPUUs.cdxml | 解包内容/Chemdraws/Scheme 3- Synthesis of TPUUs.png | 解包内容/Raw_DSC/PMVL_PCL_f_0.25_DSC.xls | 解包内容/Raw_DSC/PMVL_PCL_f_0.4_DSC.xls | 解包内容/Raw_DSC/PMVL_PCL_f_0.5_DSC.xls | 解包内容/Raw_DSC/PMVL_PCL_f_0.6_DSC.xls | 解包内容/Raw_DSC/PMVL_PCL_f_0.75_DSC.xls
tpu-local-source-audit-2026-08-30-v1,DRUM_TPUU_低天花板,toughness,21,high,materialized_all_detected_targets,True,353,10,True,True,已接入；仅在新增独立数据或改进映射时更新,曲线审计清单.tsv | 解包内容/Chemdraws/Figure 2- Synthesis of end-blocked PMVL with phenyl isocyanate.cdxml | 解包内容/Chemdraws/Figure 2- Synthesis of end-blocked PMVL with phenyl isocyanate.png | 解包内容/Chemdraws/Scheme 1 PMVL Synthesis.cdxml | 解包内容/Chemdraws/Scheme 1 PMVL Synthesis.png | 解包内容/Chemdraws/Scheme 3- Synthesis of TPUUs.cdxml | 解包内容/Chemdraws/Scheme 3- Synthesis of TPUUs.png | 解包内容/Raw_DSC/PMVL_PCL_f_0.25_DSC.xls | 解包内容/Raw_DSC/PMVL_PCL_f_0.4_DSC.xls | 解包内容/Raw_DSC/PMVL_PCL_f_0.5_DSC.xls | 解包内容/Raw_DSC/PMVL_PCL_f_0.6_DSC.xls | 解包内容/Raw_DSC/PMVL_PCL_f_0.75_DSC.xls
tpu-local-source-audit-2026-08-30-v1,DRUM_TPUU_机械回收,cyclic_recovery,21,high,materialized_all_detected_targets,True,57,5,True,True,已接入；仅在新增独立数据或改进映射时更新,RAW_Polyol_characterization.zip | 曲线审计清单.tsv | 解包内容/RAW_Chemical_recycling/Catalyst_Screening_TGA.xlsx | 解包内容/RAW_Chemical_recycling/Recycled_monomers_MS.xlsx | 解包内容/RAW_Chemical_recycling/Repolymerized_TPUUs_hysteresis.xlsx | 解包内容/RAW_Chemical_recycling/Repolymerized_TPUUs_tensile.xlsx | 解包内容/RAW_Chemical_recycling/Synthesized_versus_recycled_monomer_GC.xlsx | 解包内容/RAW_Chemical_recycling/Synthesized_versus_recycled_monomer_NMR.xlsx | 解包内容/RAW_Polyol_characterization/Polyol_DSC.xlsx | 解包内容/RAW_Polyol_characterization/Polyol_NMR.xlsx | 解包内容/RAW_Polyol_characterization/Polyol_SEC.xlsx | 解包内容/RAW_Polyol_characterization/Polyol_TGA.xlsx
tpu-local-source-audit-2026-08-30-v1,DRUM_TPUU_机械回收,thermal_stability,21,high,materialized_all_detected_targets,True,57,5,True,True,已接入；仅在新增独立数据或改进映射时更新,RAW_Polyol_characterization.zip | 曲线审计清单.tsv | 解包内容/RAW_Chemical_recycling/Catalyst_Screening_TGA.xlsx | 解包内容/RAW_Chemical_recycling/Recycled_monomers_MS.xlsx | 解包内容/RAW_Chemical_recycling/Repolymerized_TPUUs_hysteresis.xlsx | 解包内容/RAW_Chemical_recycling/Repolymerized_TPUUs_tensile.xlsx | 解包内容/RAW_Chemical_recycling/Synthesized_versus_recycled_monomer_GC.xlsx | 解包内容/RAW_Chemical_recycling/Synthesized_versus_recycled_monomer_NMR.xlsx | 解包内容/RAW_Polyol_characterization/Polyol_DSC.xlsx | 解包内容/RAW_Polyol_characterization/Polyol_NMR.xlsx | 解包内容/RAW_Polyol_characterization/Polyol_SEC.xlsx | 解包内容/RAW_Polyol_characterization/Polyol_TGA.xlsx
tpu-local-source-audit-2026-08-30-v1,DRUM_TPUU_机械回收,toughness,21,high,materialized_all_detected_targets,True,57,5,True,True,已接入；仅在新增独立数据或改进映射时更新,RAW_Polyol_characterization.zip | 曲线审计清单.tsv | 解包内容/RAW_Chemical_recycling/Catalyst_Screening_TGA.xlsx | 解包内容/RAW_Chemical_recycling/Recycled_monomers_MS.xlsx | 解包内容/RAW_Chemical_recycling/Repolymerized_TPUUs_hysteresis.xlsx | 解包内容/RAW_Chemical_recycling/Repolymerized_TPUUs_tensile.xlsx | 解包内容/RAW_Chemical_recycling/Synthesized_versus_recycled_monomer_GC.xlsx | 解包内容/RAW_Chemical_recycling/Synthesized_versus_recycled_monomer_NMR.xlsx | 解包内容/RAW_Polyol_characterization/Polyol_DSC.xlsx | 解包内容/RAW_Polyol_characterization/Polyol_NMR.xlsx | 解包内容/RAW_Polyol_characterization/Polyol_SEC.xlsx | 解包内容/RAW_Polyol_characterization/Polyol_TGA.xlsx
tpu-local-source-audit-2026-08-30-v1,DataInBrief_聚氨酯形状记忆多模态原始数据,cyclic_recovery,21,high,materialized_all_detected_targets,True,13,0,True,True,已接入；仅在新增独立数据或改进映射时更新,DataInBrief_聚氨酯形状记忆多模态原始数据 | 曲线审计清单.tsv | 配方审计清单.tsv | source_directory	path	role	bytes	sha256	integrity	parser_state	license	training_split_materialized	training_weight_materialized | source_directory	record_id	source_file	source_location	formulation_id	material_scope	modality	test_type	point_count	usable_point_count	contamination_point_count	quality_status	axis_fields	unit_status	sample_mapping_status	instance_key	split | source_directory	record_id	source_file	source_location	formulation_id	task_role	material_state	result_names	direct_numeric_result_count	right_censored_result_count	raw_censored_value	unit_status	decision	future_weight_ceiling	split_group	tr | source_directory	formulation_id	material_family	component_1	component_1_fraction	component_2	component_2_fraction	component_3	component_3_fraction	fraction_basis	identity_mapping_status	evidence	split_group	future_weight_ceiling	training_sp
