release_id,source_id,source_family_id,source_title,canonical_identifier,origin_kind,gold_layer,citation_keys,license_status,quality_status,notes
tpu-usable-2026-07-21-v1,source_mendeley_xs78ch5jb7_v3,family_date_seed_oil_rigid_pu_pir_2025,Novel bio-polyol synthesis based on date seed oil for low-density rigid polyurethane-polyisocyanurate foams,10.17632/xs78ch5jb7.3,实验,Gold-E,ledger-165-taghvaei-nia-2024-date-seed-oil-pu-pir-data;ledger-166-taghvaei-nia-2025-date-seed-oil-pu-pir,allow_with_attribution,降权,Mendeley Data固定version 3的7个官方附件均通过字节数和SHA-256核验，形成5个S1至S5最终刚性PU-PIR配方； 36个唯一机械/光谱/热分析序列含101609个曲线或峰点，另有36个配方与过程标量。曲线点只提高同一配方观测的数值分辨率， 不增加材料数、试样数或独立来源数。机械68819点因轴单位与测试协议未闭合保留为条件参考；来源可靠性不因字段不全而被整源淘汰。 数据集为CC BY 4.0，关联论文为CC BY-NC 4.0，许可范围分别治理。0.60仅为未来门禁闭合后的潜在上限；当前训练权重为空且未创建划分。
tpu-usable-2026-07-21-v1,source_drum_zf53w893,family_drum_low_ceiling_tpuu,低天花板温度聚合物TPUU原始数据,doi:10.13020/zf53-w893,实验,Gold-E,ledger-055-meyersohn-2024-low-ceiling-tpuu-data;ledger-056-meyersohn-2024-low-ceiling-tpuu,allow_with_attribution,入选,CC0 1.0来源已核验；4个材料代码定量配方仍需正文/SI解码；第17批已物化24条CSV曲线的110281个原始点及60个可复算端点，4条旧版XLS DMTA曲线2779点保留为已审计待接入
tpu-usable-2026-07-21-v1,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,Sustainable insulating foams based on recycled polyurethanes from construction and demolition wastes,10.5281/zenodo.5713819,实验,Gold-E,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,allow_with_attribution,降权,Zenodo固定归档与论文共同闭合11个硬质/软质PU泡沫配方、59个压缩试样、10条黏度曲线和8个导热工作簿。 压缩原始数据有45922个观测点，按论文和UNE-EN ISO 604限定的0--27%形变保留13159点，并派生118个10%/25%端点； 加上581个黏度点、73个有效直接标量后形成13931条Gold-E记录，其中66条正式、13865条条件参考。 RPUF0第7个文件的西班牙语13列结构已按真实压缩应变列修复；来源可靠但属于发泡PU迁移域，不冒充线性TPU精确结构监督，当前训练权重为空。
tpu-usable-2026-07-21-v1,ledger_source_093,family_fdm_tpu_cellular_mechanics,Experimental and Numerical Data for FDM-Printed PLA and TPU Cellular Structures under Compression and Bending,doi:10.17632/dbzdkz95f8.1,实验,Gold-E,ledger-093-tapia-2026-fdm-tpu-cellular-data,manual_review,降权,57条曲线和935条标量通过来源汇总选择；其余冲突或未选
tpu-usable-2026-07-21-v1,ledger_source_110,family_furan_postdynamic_tpu,"High-Strength, Tough, Furan-Based Polyurethane Elastomers Achieving Performance and Functionality Upgrades through Postdynamic Cross-Linking",doi:10.1021/acs.macromol.5c03627.s001,实验,Gold-E,ledger-110-yang-2026-furan-tpu-si,manual_review,降权,217条表格记录含112个±不确定度值；FAPU/FNPU标签冲突保留，原始曲线未公开且CC BY-NC 4.0单独隔离
tpu-usable-2026-07-21-v1,ledger_source_118,family_hbond_nanostructured_tpe,Design of Sustainable and High Strength-Toughness Thermoplastic Elastomer via a Strong Hydrogen Bond-Reinforced Nanostructure,doi:10.1021/acs.macromol.6c00352.s001,实验,Gold-E,ledger-118-wei-2026-hbond-nanostructure-si,manual_review,降权,143条配方/工艺/实验表格值；P6/P7软段Tg破折号保留为缺失；发表汇总低于原始重复曲线，CC BY-NC 4.0隔离
tpu-usable-2026-07-21-v1,source_mendeley_wg3znh66bv_v1,family_iir_oh_barrier_pu_2026,Low-Permeability and Calcification-resistant Polyurethanes Based on Hydroxylated Butyl Rubber,10.17632/wg3znh66bv.1,实验,Gold-E,ledger-172-zhang-2026-iir-oh-barrier-pu-data;ledger-173-zhang-2026-iir-oh-barrier-pu-preprint,allow_with_attribution,降权,Mendeley Data固定version 1的ZIP为CC BY 4.0；207个成员包含HDI/HMDI/MDI三类二异氰酸酯与2/4/6/8/10五档代码， 形成15个有拉伸数据的配方、一个仅有网络数据的MDI-1配方及一个商用PU70A对照。审计得到158条可解析呈现曲线、去重后151条曲线和3016301个采样点；采样点只提高曲线分辨率， 不增加材料、配方或独立来源数。凝胶/交联密度工作簿给出96个明确最终标量与48个条件性m1/m0比值；54条唯一单调拉伸曲线可复算162个最大观测应力、 最大观测应变和记录末点前曲线面积。部分曲线终点仍承载，因此面积不命名为完整断裂韧性。FTIR、NMR、GPC、专有SPA/OPJU及两条同名MDI-2处理曲线保留条件参考；水氧透过率OPJU尚未可靠解析。 SSRN预印本与数据集的关系依据同题名和作者作高置信推断，但Mendeley元数据未官方绑定论文。0.55仅为未来任务门禁闭合后的潜在上限；当前不生成训练权重或划分。
tpu-usable-2026-07-21-v1,source_mendeley_n9h66xjk7y_v1,family_mendeley_aged_vegetable_puf,Simulated Results for Aged Polyurethane Foam,10.17632/n9h66xjk7y.1,模拟,Gold-C,ledger-174-pires-da-silva-2024-aged-puf-simulation-data;ledger-175-pires-2025-aged-puf-dnn;ledger-176-da-silva-2024-aged-puf-arrhenius,allow_with_attribution,降权,Mendeley Data固定version 1的ZIP为CC BY 4.0；4200条Abaqus RPT覆盖一个植物基PU泡沫名义配方、两个发泡方向、3--2999天和10--89摄氏度。 归档没有UMAT源码、输入文件、网格或求解配置，因此可作为实验锚定的本构有限元低保真参考，但不能宣称逐运行完全可复现，也不能直接监督线性TPU拉伸性能。 3868个唯一工况各物化0.1/0.5/1.0压缩对数应变处Mises应力、最大观测Mises应力和记录终点前能量密度5个描述符，共19340条Gold-C； 4193号运行缺最终步，其5条描述符进入条件参考；另有6个不同工况共享完全相同数值曲线，对应30条描述符也保留并降为条件参考，合计19305条正式、35条条件参考。 该源与10.17632/2sp8fyvhfm.3实验数据共用一个来源家族，不增加独立材料、配方或来源贡献数。 当前训练权重和划分均为空。
tpu-usable-2026-07-21-v1,source_mendeley_pu_seat_processed_v2,family_moon_2020_pu_multilayer_seat,Raw data for manuscript of Study on Seating Comfort of Polyurethane Multilayer Seat Cushions,10.17632/wtfkgk8k8r.2,实验,Gold-E,ledger-168-oh-2019-pu-seat-processed-data;ledger-169-moon-2020-pu-seat-comfort,,降权,同一来源家族的处理后视图；引用与许可继承自来源族，不增加独立来源数。
tpu-usable-2026-07-21-v1,source_mendeley_pu_seat_raw_v2,family_moon_2020_pu_multilayer_seat,Raw data for manuscript of Study on Seating Comfort of Polyurethane Multilayer Seat Cushions,10.17632/wtfkgk8k8r.2,实验,Gold-E,ledger-167-oh-2019-pu-seat-raw-data;ledger-168-oh-2019-pu-seat-processed-data;ledger-169-moon-2020-pu-seat-comfort,allow_with_attribution,降权,两个Mendeley Data固定version 2记录均为CC BY 4.0并服务于同一篇论文；9个来源标签体系各有1条IFD和1条应力松弛轨迹， 共73596个曲线点，另有59个同族汇总标量。54个单位与语义闭合的舒适性/松弛汇总值为正式参考；IFD原件缺列名、松弛纵轴为未校准电压、 5个交联密度缺单位，故保留为条件参考而不删除。9个体系只有材料类别或坐垫标签，商品牌号、配方、几何和试样身份未闭合； 不能用于精确SMILES监督，也不能把电压称作绝对应力。0.55仅为未来潜在上限；当前训练权重为空且未创建划分。
tpu-usable-2026-07-21-v1,source_figshare_ma5c03283_si,family_multicomponent_pu_multiscale_2026,Supporting Information for Multiscale Simulation of Multicomponent Polyurethane Elastomers: Unraveling Composition-Dependent Microphase Separation Dynamics and Mechanical Properties,10.1021/acs.macromol.5c03283.s001,模拟,Gold-C,ledger-163-meng-2026-multiscale-pu-si;ledger-164-meng-2026-multiscale-pu,manual_review,降权,论文SI的Table S1--S3提供10个粗粒化材料体系、13个不重复模拟运行和115个可追溯数值； 其中68个为组成、粒子数或盒尺寸等输入描述符，只作上下文且潜在目标权重为0；47个为Rg、密度、残余反应位点和拉伸强度等计算输出， 34个正式、13个条件参考。来源把密度单位误排为g·mol-1，本库依据量纲与盒体积关系规范为g/cm3但保留条件标志。 原始轨迹、restart、完整力场和精确原子图未公开，不能把115个数值称作115次独立模拟或实验真值；CC BY-NC 4.0限制商业使用。
tpu-usable-2026-07-21-v1,source_omg_batch10,family_omg_batch10,TheJacksonLab/OpenMacromolecularGenome: v 1.0b,10.5281/zenodo.7556992,模拟,Gold-C,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,manual_review,降权,Open Macromolecular Genome v1.0b的reaction_idx=6按官方模板定义为二异氰酸酯与二元醇逐步聚合，形成100584个虚拟PU重复单元候选； 这只是可合成反应模板，不是实验合成成功标签。OMG PhysicalProperties的47676个直接量子化学计算体系各含25项RDKit、GFN2-xTB、 DFT、TDDFT或COSMO-SAC性质，共1191900个可靠计算值，其中2086个体系与PU候选精确连接、形成52150个高相关Gold-C观测； 其余45590个一般聚合物体系的1139750个值保持conditional迁移参考，同样进入多保真参考池。GPL-3.0-or-later与MIT两个固定版本分别治理， 当前不创建训练集、逐条权重或拆分。
tpu-usable-2026-07-21-v1,source_openpolymer_challenge_v1,family_openpolymer_challenge_2025,NeurIPS - Open Polymer Prediction 2025 Test Data,https://www.kaggle.com/datasets/alexliu99/neurips-open-polymer-prediction-2025-test-data,模拟,Gold-C,ledger-156-liu-2025-open-polymer-challenge-data;ledger-157-liu-2025-open-polymer-challenge-report,allow_with_attribution,降权,Kaggle官方赛后version 1包含3502个唯一有效pSMILES，其中1649个结构至少有一项MD标签、1853个结构全部未标注； 261个Tg、223个FFV、1404个热导、1526个密度和1110个回转半径合计4524个非空Gold-C计算观测。 211个结构具有氨基甲酸酯SMARTS，131个已有标签；其余结构可作通用聚合物表示迁移或候选参考，不能冒充TPU实验。 官方Kaggle API标记MIT，但ZIP内没有独立LICENSE，故保留API许可快照。当前不创建训练权重或拆分。
tpu-usable-2026-07-21-v1,ledger_source_112,family_polyimide_upcycled_chain_extender,Upcycling of Polyimide for the Preparation of a High-Performance Polyurethane Chain Extender,doi:10.1021/acsapm.5c04872.s001,实验,Gold-E,ledger-112-guo-2026-polyimide-chain-extender-si,manual_review,降权,45条表格记录；10个拉伸端点因SI缺测试协议进入条件参考，CC BY-NC 4.0不自动授权商业用途
tpu-usable-2026-07-21-v1,source_polyomics_data,family_polyomics,PolyOmics固定数据版本,10.57967/hf/7475,模拟,Gold-C,ledger-020-polyomics-2025;ledger-151-hayashi-2026-polyomics-data,allow_with_attribution,降权,固定Hugging Face revision的官方主表实含95335行和255列。显式class_PURT筛得3384条且全部check_eq为真， 作为Gold-C正式聚氨酯计算参考；另有3204条PURA-only聚脲相邻体系作为Gold-C条件迁移参考。 PU联集6588行全部可解析，来源内为6448个唯一结构和6537个唯一模拟工况；结构重合只增厚标签， 不重复声称为新材料。43项性质共保留209905个非空计算值及各自缺失状态；热导只有check_tc通过者可作正式热导目标， 43条有值但检查失败者仅作条件参考，1285条无热导值不补零。其余88747条一般聚合物只保留来源级迁移统计， 不冒充PU/TPU。当前不创建训练集；未完成同QoI实验校准前，PURT项目潜在上限为0.20，PURA-only条件参考上限为0.10。
tpu-usable-2026-07-21-v1,source_zenodo_12585902_polyuniverse_pu,family_polyuniverse_virtual_polymers,PolyUniverse百万聚氨酯虚拟结构与预测性质库,10.5281/zenodo.12585902,虚拟候选,Gold-V,ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code,allow_with_attribution,仅验证,100万条规则生成PU结构与1500万个机器学习预测标签进入Gold-V科学参考；另补齐同一Zenodo固定版本的PubChem_diNCO与GDB-17_diNCO原件。严格结构跨文件去重为9332个，扣除与既有Gold-V重合后新增9319个正式候选；另2740个exact-diNCO因多碎片、电荷或元素边界进入条件参考。NCS、混合、其它与7条解析失败只留审计，不因文件名伪装成二异氰酸酯。所有虚拟结构与预测均为零实验监督权重。
tpu-usable-2026-07-21-v1,source_sciencedb_pue643_v1,family_pue643,Mechanical Properties for Polyurethane Elastomers,10.57760/sciencedb.14957,实验,Gold-E,ledger-001-ding-2023-pue-mechanical;ledger-158-li-2024-sciencedb-pue643-data,allow_with_attribution,仅验证,Science Data Bank V1的643行表与Ding等PUE-643论文及官方ESI属于同一来源家族，不重复扩增为第二套643个实验。 每行只有logYM、logTS和logEB三项实验变换目标，共1929个性能标签；SSID之外的其余20个标准化或编码输入只作配方、工艺和测试上下文， 不能计为性能标签。公开CSV没有原始应力—应变曲线、原单位目标或完整化学身份，因此全部进入Gold-E conditional参考； 在原始单位和配方映射闭合前不反推数值，也不物化训练权重。
