component_id,preferred_name,commercial_role,component_role,identity_kind,descriptor_fidelity,representation_scope,distribution_claim_status,proxy_interpretation_limit,calculation_status,direct_commercial_evidence_status,ehs_review_status,experiment_use_status,conformer_count_input,conformer_count_success,ensemble_temperature_k,ensemble_status,energy_span_kcal_mol,dominant_conformer_weight,conformer_count_weight_ge_0p01,effective_conformer_count,boltzmann_weight_sum,homo_ev_weighted_mean,homo_ev_weighted_sd,homo_ev_min,homo_ev_max,lumo_ev_weighted_mean,lumo_ev_weighted_sd,lumo_ev_min,lumo_ev_max,homo_lumo_gap_ev_weighted_mean,homo_lumo_gap_ev_weighted_sd,homo_lumo_gap_ev_min,homo_lumo_gap_ev_max,dipole_magnitude_debye_weighted_mean,dipole_magnitude_debye_weighted_sd,dipole_magnitude_debye_min,dipole_magnitude_debye_max,gfn2_d4_alpha0_au_weighted_mean,gfn2_d4_alpha0_au_weighted_sd,gfn2_d4_alpha0_au_min,gfn2_d4_alpha0_au_max,site_charge_e_mean_weighted_mean,site_charge_e_mean_weighted_sd,site_charge_e_mean_min,site_charge_e_mean_max,site_charge_e_abs_difference_weighted_mean,site_charge_e_abs_difference_weighted_sd,site_charge_e_abs_difference_min,site_charge_e_abs_difference_max,site_atomic_alpha0_au_mean_weighted_mean,site_atomic_alpha0_au_mean_weighted_sd,site_atomic_alpha0_au_mean_min,site_atomic_alpha0_au_mean_max,site_atomic_alpha0_au_abs_difference_weighted_mean,site_atomic_alpha0_au_abs_difference_weighted_sd,site_atomic_alpha0_au_abs_difference_min,site_atomic_alpha0_au_abs_difference_max,site_incident_wbo_sum_mean_weighted_mean,site_incident_wbo_sum_mean_weighted_sd,site_incident_wbo_sum_mean_min,site_incident_wbo_sum_mean_max,site_incident_wbo_sum_abs_difference_weighted_mean,site_incident_wbo_sum_abs_difference_weighted_sd,site_incident_wbo_sum_abs_difference_min,site_incident_wbo_sum_abs_difference_max,site_sasa_a2_mean_weighted_mean,site_sasa_a2_mean_weighted_sd,site_sasa_a2_mean_min,site_sasa_a2_mean_max,site_relative_sasa_mean_weighted_mean,site_relative_sasa_mean_weighted_sd,site_relative_sasa_mean_min,site_relative_sasa_mean_max,site_nonbonded_net_gap_a_mean_weighted_mean,site_nonbonded_net_gap_a_mean_weighted_sd,site_nonbonded_net_gap_a_mean_min,site_nonbonded_net_gap_a_mean_max,reactive_site_distance_a_weighted_mean,reactive_site_distance_a_weighted_sd,reactive_site_distance_a_min,reactive_site_distance_a_max,source_task_slug,canonical_smiles,failure_count,complete_weighted_release,conformer_uncertainty,role
commercial_bdo_14,"1,4-BDO",chain_extender,chain_extender,discrete_substance,crest_ensemble,exact_discrete_commercial_substance,not_applicable,gas_phase_component_descriptor_only,completed,verified_dated_page,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,73,73,298.15,complete,5.59932978745,0.487011328312,16,10.8491449396,1,-10.8699563501,0.187476031215,-11.24682868,-10.63104895,0.939327775743,0.253054184933,0.52566028,1.56994011,11.8092841258,0.392209565033,11.21591067,12.70321388,3.0228286238,1.21675567401,0.000152029182189,3.87996549578,61.1009851522,0.0381891794578,60.999719,61.22129,-0.449444704484,0.0050107931613,-0.45550356,-0.438469795,0.0127491905071,0.00948460335171,5.99999999684e-08,0.0245667,6.30771262997,0.0147777509153,6.275,6.3255,0.0375783020935,0.0278603572434,0,0.073,1.88682715812,0.0104541912188,1.87527882562,1.90498385827,0.011164427013,0.00812596024679,6.64302213238e-09,0.0215579602803,26.9905694873,2.47686731287,20.7595185912,33.7621202895,0.251904822127,0.023116771218,0.19375,0.315104166667,-0.424533192309,0.165196598902,-0.566130406055,-0.0482914305977,3.40209478674,1.01100494457,2.77993593478,6.187691354,reality_commercial_bdo_14,OCCCCO,0,True,0.226853723842,chain_extender
commercial_chdm_14,"1,4-CHDM",chain_extender,chain_extender,commercial_isomer_mixture,crest_ensemble,exact_discrete_commercial_substance,not_applicable,gas_phase_component_descriptor_only,completed,verified_dated_page,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,58,58,298.15,complete,5.98785227828,0.165933815043,16,14.7390891624,1,-10.9627645371,0.0274346683418,-11.01074997,-10.62387584,1.02003899835,0.0564247139015,0.7291749,1.18381509,11.9828035354,0.049891048305,11.57675824,12.14574002,1.53578534826,1.13389843955,0.000112874572849,3.88556293459,102.511684512,0.0238782748362,102.457932,102.656863,-0.440412840919,0.000456306286986,-0.44435392,-0.438778575,0.000569710922592,0.000680846388546,3.29999999993e-07,0.01350882,6.2811670287,0.00133015439714,6.276,6.293,0.00164461405999,0.0019855643336,0,0.04,1.90267559837,0.000949953535512,1.89604655286,1.90415533338,0.00104500643571,0.00121019791382,1.2747035405e-07,0.00791426426613,29.5386330927,1.89241462675,19.4759999686,33.2598738719,0.275686073189,0.0176620345179,0.181770833333,0.310416666667,-0.224145853848,0.0351870605861,-0.310600114809,-0.142172155725,7.31546542913,0.300527268733,5.84939196996,7.73110794847,reality_commercial_chdm_14,C1CC(CCC1CO)CO,0,True,0.030557445245,chain_extender
commercial_deg,DEG,chain_extender,chain_extender,discrete_substance,crest_ensemble,exact_discrete_commercial_substance,not_applicable,gas_phase_component_descriptor_only,completed,verified_dated_page,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,159,159,298.15,complete,5.98432567503,0.104559429064,21,37.139400192,1,-10.971641699,0.248508737382,-11.39167598,-10.51535199,-0.121533804376,0.2654641631,-0.49511897,0.9380551,10.8501078947,0.263369117396,10.45106266,11.56029555,2.36756310554,0.889891620367,0.103198735378,4.97430646704,66.1375202823,0.0630198452604,65.992371,66.367962,-0.439123408207,0.00604523045036,-0.452150165,-0.42411803,0.00604357099879,0.00704707592769,8.10000000018e-07,0.02570115,6.27733649036,0.0177184832038,6.234,6.316,0.0177999685342,0.0207567500475,0,0.075,1.89726184044,0.00964992609165,1.87574746165,1.91228612442,0.00590139419239,0.00600454108681,1.78859481692e-06,0.0222522743175,30.350108193,4.37233010067,19.5876102836,34.5433924945,0.283259625533,0.0408072544305,0.1828125,0.322395833333,-0.262387236555,0.140786912199,-0.56246429467,-0.0171583125572,4.56731650604,1.29216143013,2.79521240402,7.20147021801,reality_commercial_deg,C(COCCO)O,0,True,0.153910221475,chain_extender
commercial_eg,EG,chain_extender,chain_extender,discrete_substance,crest_ensemble,exact_discrete_commercial_substance,not_applicable,gas_phase_component_descriptor_only,completed,verified_dated_page,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,11,11,298.15,complete,4.70694228938,0.503321117451,7,4.55428394598,1,-11.1996705325,0.038669747382,-11.33590284,-11.10838949,0.709161427281,0.196882292909,0.32970824,1.28365928,11.9088319598,0.196290914808,11.47330298,12.5042922,1.92787537025,0.997248190046,0.000640787054665,3.67429038596,37.8117223377,0.0342481374425,37.759731,37.930767,-0.438808806822,0.00212635155075,-0.44413308,-0.42813623,0.00126965806486,0.00260513732299,1.71999999998e-06,0.00795444,6.27647540959,0.00625233903181,6.2455,6.292,0.00371391218309,0.00788931566617,0,0.024,1.90198263209,0.0031665015465,1.89877141909,1.90857507495,0.00270784363715,0.00223827012907,2.40898230919e-07,0.00781465564141,31.7197726576,1.25118727189,28.3490200117,33.594704817,0.296042797207,0.0116774159701,0.264583333333,0.313541666667,-0.201822512094,0.0994366461841,-0.30094195645,-0.0132734560778,3.05647639768,0.355174604429,2.83567713284,3.68039511597,reality_commercial_eg,C(CO)O,0,True,0.113535613577,chain_extender
commercial_hdo_16,"1,6-HDO",chain_extender,chain_extender,discrete_substance,crest_ensemble,exact_discrete_commercial_substance,not_applicable,gas_phase_component_descriptor_only,completed,verified_dated_page,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,550,550,298.15,complete,5.96532468816,0.0426262690399,20,166.331605773,1,-10.9747758576,0.190424639006,-11.22064871,-10.38638607,1.0370042118,0.231841617956,0.52723351,1.60566584,12.0117800694,0.327013242555,10.99468012,12.62074822,2.36996636784,1.13401314448,0.00289783909893,3.9234455373,84.3690156785,0.0376488012372,84.279733,84.545274,-0.44459338123,0.00496796137614,-0.457717815,-0.438347195,0.00427401032188,0.00559211902741,7.49999999994e-07,0.02511982,6.2934383915,0.0146607229671,6.275,6.332,0.0126457076761,0.0165004601042,0,0.074,1.89802845797,0.00813650888745,1.87277409085,1.90438592389,0.00418219270754,0.00555856865486,1.36849481969e-07,0.0229916088684,28.6563016022,4.20256016656,16.0718853609,34.152756392,0.267451213333,0.03922278008,0.15,0.31875,-0.232821598052,0.138589063869,-0.609352529185,-0.0411880069628,5.94362699373,1.81015658949,2.85998568129,8.71042610114,reality_commercial_hdo_16,C(CCCO)CCO,0,True,0.19017603067,chain_extender
commercial_hqee,HQEE,chain_extender,chain_extender,discrete_substance,crest_ensemble,exact_discrete_commercial_substance,not_applicable,gas_phase_component_descriptor_only,completed,verified_dated_page,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,284,284,298.15,complete,5.94921024486,0.0564877702978,23,54.0865296757,1,-10.1120757681,0.0673945535588,-10.21375885,-9.72397469,-6.31221573061,0.0698888752073,-6.39512074,-5.86046505,3.79986003751,0.0240675048172,3.72565916,4.00756303,1.77419585129,0.948877991837,0.00538261299925,5.42688580079,133.330195744,0.0574917186573,133.166225,133.543076,-0.434860158354,0.00171933404828,-0.44873248,-0.42424393,0.00197113692505,0.00228505089707,5.10000000009e-07,0.01835776,6.26486507938,0.00512447307776,6.234,6.3055,0.00569834725025,0.00666648055249,0,0.054,1.90450392381,0.0015936247829,1.89141553202,1.9124071929,0.00207380164031,0.00228479329766,8.96576667131e-07,0.0148555466347,33.3527204941,1.43000133597,14.0070945333,34.375977022,0.311283210511,0.013346299801,0.130729166667,0.320833333333,-0.146160506615,0.0474200630883,-0.37783215592,-0.0179507449489,9.93965291362,0.886204489144,3.2541520692,12.2645011858,reality_commercial_hqee,C1=CC(=CC=C1OCCO)OCCO,0,True,0.01591984732,chain_extender
commercial_npg,NPG,chain_extender,chain_extender,discrete_substance,crest_ensemble,exact_discrete_commercial_substance,not_applicable,gas_phase_component_descriptor_only,completed,verified_dated_page,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,21,21,298.15,complete,4.96711399239,0.825499820386,6,2.2981569705,1,-10.8419750481,0.0621776630859,-11.17609067,-10.64349001,0.631794975781,0.133220586083,0.34127325,1.12535884,11.4737700239,0.177444529236,10.98476326,12.10141824,2.80235330094,0.389219505382,0.0943513957943,3.86685338349,72.6573734467,0.0225815783454,72.58479,72.757901,-0.44834245584,0.00272064703608,-0.450099085,-0.434118935,0.00709350356499,0.00183332360763,4.69999999975e-07,0.00871971,6.30438929331,0.00799784035598,6.263,6.3095,0.0208171866323,0.00528264174745,0,0.025,1.88764774943,0.00509373124012,1.88570421862,1.90479166054,0.00705932702405,0.00208061483781,9.71199370037e-07,0.0118256370458,25.9514496414,1.06384245705,17.857650401,28.3490200117,0.242206645878,0.00992891406164,0.166666666667,0.264583333333,-0.484975149599,0.0611345150741,-0.545224099187,-0.263314728418,2.88911141342,0.386476615868,2.77108787858,4.92813001713,reality_commercial_npg,CC(C)(CO)CO,0,True,0.102619923684,chain_extender
commercial_h12mdi,H12MDI,diisocyanate,diisocyanate,discrete_substance,crest_ensemble,exact_discrete_commercial_substance,not_applicable,gas_phase_component_descriptor_only,completed,verified_dated_page,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,39,39,298.15,complete,5.95777574919,0.521895358247,11,6.18236574083,1,-11.1982478778,0.0369589620977,-11.24988078,-10.99963476,-5.32984452945,0.025141722668,-5.43975004,-5.19141005,5.8684033483,0.0611321753768,5.65002607,5.94792502,3.78434889901,1.06290766334,1.6232739747,6.81593476559,182.272303032,0.0118175347676,182.244324,182.316957,0.308995846534,0.000717055795631,0.307002885,0.315656775,0.00291303464251,0.0011428022879,3.998e-05,0.0045119,7.96511308444,0.00231723257152,7.9435,7.9715,0.00935023804519,0.00369361515909,0,0.015,3.87069745106,0.00201986356866,3.86563465935,3.87577927422,0.00772548565941,0.00369540222184,0.000104952906811,0.0127570106981,19.6475519675,1.47202766295,12.7681524925,23.3348993829,0.162695370202,0.0121894109743,0.105729166667,0.193229166667,-0.253851331127,0.0240418503818,-0.471571269111,-0.197716778079,10.303921071,1.07762211973,3.77148206976,12.0291589756,reality_commercial_h12mdi,O=C=NC1CCC(CC1)CC2CCC(CC2)N=C=O,0,True,0.0359918452579,diisocyanate
commercial_hdi,HDI,diisocyanate,diisocyanate,discrete_substance,crest_ensemble,exact_discrete_commercial_substance,not_applicable,gas_phase_component_descriptor_only,completed,verified_dated_page,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,121,121,298.15,complete,4.81328631994,0.118069848179,32,49.4377180398,1,-11.387066569,0.0667786406088,-11.48989077,-11.17380801,-5.39916306216,0.0524274132451,-5.51930266,-5.24070048,5.98790350684,0.079112586831,5.77158553,6.09918919,3.80646283983,2.09298261999,0.00182101212631,6.12440492711,111.152933304,0.0166595660089,111.111821,111.223812,0.307816557895,0.00111413608538,0.304393715,0.31164657,0.000642003175473,0.000854960598894,1.00000000003e-07,0.00488997,7.96890669637,0.00365537764596,7.9565,7.98,0.00204298962966,0.00284175898705,0,0.016,3.87403498793,0.00262781299022,3.86899888658,3.87949632864,0.0023701878226,0.00282247634408,1.61704880597e-07,0.0129403083936,20.9984225231,3.75706062785,13.5229201275,28.2408890105,0.173881516217,0.0311110702611,0.111979166667,0.233854166667,-0.333796183036,0.0680039198753,-0.464297555961,-0.129200628834,6.26586232189,1.78748995112,2.93570244404,10.0757633038,reality_commercial_hdi,O=C=NCCCCCCN=C=O,0,True,0.0490847613389,diisocyanate
commercial_ipdi,IPDI,diisocyanate,diisocyanate,discrete_substance,crest_ensemble,exact_discrete_commercial_substance,not_applicable,gas_phase_component_descriptor_only,completed,verified_dated_page,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,60,60,298.15,complete,4.9836927927,0.351748485692,13,11.1742645817,1,-11.2862921999,0.0589306666922,-11.33916835,-11.14301394,-5.40371062937,0.0387405723051,-5.50685885,-5.30345155,5.88258157051,0.0638688080383,5.6538385,5.94348074,2.62441996173,2.4235386744,0.307220250695,6.13200824334,152.377312713,0.0342591423498,152.34125,152.465853,0.306752251275,0.000875470961872,0.303924865,0.30821389,0.00136094417316,0.00121758390502,6.458e-05,0.00503643,7.97227262332,0.00287331340726,7.9675,7.9815,0.00430400716245,0.00386506656916,0,0.016,3.87187524171,0.00228200331119,3.86846566757,3.87839681307,0.00927154669257,0.00262291424342,0.00120778411109,0.0154157331208,19.6342716506,1.52256917594,13.963201248,25.7878941967,0.162585399958,0.0126079297893,0.115625,0.213541666667,-0.302479894115,0.0714365325239,-0.385239187658,-0.0543467810412,6.77135214903,0.852367853386,4.91720640605,7.90972596516,reality_commercial_ipdi,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,0,True,0.0375896749264,diisocyanate
