target_family,property_name,target_metric_role,row_count,source_count,source_family_count,formulation_group_count,chemistry_closed_formulation_group_count,sample_count,curve_count,independent_unit_count,model_ready_row_count,current_status,next_action
cyclic_recovery,hysteresis_loss,auxiliary_application_scalar,9,1,1,9,0,9,0,9,9,auxiliary_or_protocol_specific,只作辅助任务或来源内校准，不替代目标真值
cyclic_recovery,hysteresis_loss_ratio,auxiliary_application_scalar,75,1,1,1,0,75,0,75,75,auxiliary_or_protocol_specific,只作辅助任务或来源内校准，不替代目标真值
cyclic_recovery,elastic_recovery,primary_conditioned_scalar,56,1,1,5,5,6,0,6,56,insufficient_for_new_chemistry_model,定向补充结构—配方—工艺闭合的独立文献体系
cyclic_recovery,energy_dissipation_index,primary_conditioned_scalar,56,1,1,5,5,6,0,6,56,insufficient_for_new_chemistry_model,定向补充结构—配方—工艺闭合的独立文献体系
cyclic_recovery,residual_strain,primary_conditioned_scalar,30,1,1,4,4,5,0,5,30,insufficient_for_new_chemistry_model,定向补充结构—配方—工艺闭合的独立文献体系
cyclic_recovery,cyclic_tensile_stress,primary_cyclic_curve,105912,1,1,4,0,4,4,4,105912,cyclic_endpoint_extraction_required,按整条加载—卸载曲线提取逐循环恢复率、残余应变和滞后能
thermal_stability,glass_transition_temperature_hard_segment,auxiliary_service_temperature,7,1,1,7,7,7,0,7,7,auxiliary_or_protocol_specific,只作辅助任务或来源内校准，不替代目标真值
thermal_stability,glass_transition_temperature_soft_segment,auxiliary_service_temperature,5,1,1,5,5,5,0,5,5,auxiliary_or_protocol_specific,只作辅助任务或来源内校准，不替代目标真值
thermal_stability,dsc_heat_flow,auxiliary_thermal_curve,4326,1,1,0,0,1,1,1,4326,auxiliary_or_protocol_specific,只作辅助任务或来源内校准，不替代目标真值
thermal_stability,dta_signal,auxiliary_thermal_curve,2682,1,1,2,0,3,3,3,2682,auxiliary_or_protocol_specific,只作辅助任务或来源内校准，不替代目标真值
thermal_stability,dtg_mass_rate,primary_curve_for_endpoint,2682,1,1,2,0,3,3,3,2682,endpoint_extraction_required,先从TGA/DTG曲线提取T5、T10和Td_onset并核验样品身份
thermal_stability,tga_mass_signal,primary_curve_for_endpoint,4331,1,1,4,0,5,5,5,4331,endpoint_extraction_required,先从TGA/DTG曲线提取T5、T10和Td_onset并核验样品身份
toughness,observed_stress_strain_area_to_last_point,auxiliary_curve_area,54,1,1,15,0,54,54,54,54,auxiliary_or_protocol_specific,只作辅助任务或来源内校准，不替代目标真值
toughness,elongation_at_break,auxiliary_mechanical_scalar,130,5,5,90,12,130,20,130,130,auxiliary_or_protocol_specific,只作辅助任务或来源内校准，不替代目标真值
toughness,tensile_strength,auxiliary_mechanical_scalar,69,5,5,29,13,69,20,69,69,auxiliary_or_protocol_specific,只作辅助任务或来源内校准，不替代目标真值
toughness,ultimate_tensile_strength,auxiliary_mechanical_scalar,62,1,1,62,0,62,0,62,62,auxiliary_or_protocol_specific,只作辅助任务或来源内校准，不替代目标真值
toughness,tensile_toughness,primary_direct_scalar,20,1,1,4,0,20,20,20,20,insufficient_for_new_chemistry_model,定向补充结构—配方—工艺闭合的独立文献体系
toughness,toughness,primary_direct_scalar,44,3,3,20,8,44,0,44,44,insufficient_for_new_chemistry_model,定向补充结构—配方—工艺闭合的独立文献体系
