source_id,source_scope_id,source_family_id,source_directory,source_title,canonical_identifier,task,origin_kind,scientific_role,gold_layer,gold_admission_status,source_record_count,material_count,formulation_count,batch_count,specimen_count,run_count,curve_count_observed,curve_count_candidate,scalar_count_observed,scalar_count_candidate,point_count_observed,point_count_candidate,numeric_value_count,evidence_group_count,computational_system_count,source_identity_count_contribution,direct_numeric_total,complete_direct_response_count,valid_derived_scalar_count,invalid_cached_formula_count,known_missing_direct_count,quality_status,weight_ceiling,current_weight_materialized,model_ready_record_count,unit_status,license_status,dedup_status,split_group_status,completeness,citation_keys,audit_basis,notes
ds_smipoly_monomers,v0.1_snapshot_smipoly,family_smipoly,基础数据/smipoly_monomers.csv,SMiPoly公开单体示例,local-export:smipoly_monomers.csv,反应规则约束与虚拟候选生成,虚拟候选,迁移,Gold-V,admitted_reference,1083,1071,,,,,0,0,0,0,0,0,0,0,0,1,,,,,,仅验证,0.0,False,0,不适用,allow_with_attribution,已分组,粗粒度来源家族,v0.1_frozen_source_aggregate,ledger-007-smipoly-2023,数据/快照/TPU数据库_v0.1_快照.json,"1,083 条来源记录规范化为 1,071 个候选结构；候选不是实验性能标签。"
ds_pue326_dq,v0.1_snapshot_pue326,family_pue_dq_matimpute,代码仓库镜像/DQ/experiment/datasets/PUE.csv,DQ固定仓库发布,https://github.com/ai4mat/Deep-learning-quality,交联 PUE 变换后性质辅助,实验,迁移,Gold-E,blocked,326,,,,,,0,0,326,0,0,0,0,0,0,1,,,,,,隔离,0.0,False,0,未解析,manual_review,已分组,已有母集家族键,v0.1_frozen_source_aggregate,ledger-012-xie-2025-matimpute,数据/快照/TPU数据库_v0.1_快照.json,326 行是同一母集的变换后辅助记录，原配方不可恢复，公开视图为 0 行。
ds_prepolymer_viscosity,v0.1_snapshot_prepolymer_viscosity,family_pugar_viscosity,代码仓库镜像/viscosity-modeling/ViscTempData.xlsx,PU预聚体黏度建模固定仓库发布,https://github.com/joepugar/viscosity-modeling,预聚体温度—黏度加工辅助,实验,迁移,Gold-E,blocked,39,39,39,,,39,39,0,0,0,4559,0,4559,0,0,1,,,,,,隔离,0.0,False,0,已解析,manual_review,未见精确重复,配方键部分可用,v0.1_frozen_source_aggregate,ledger-004-pugar-2025-viscosity,数据/快照/TPU数据库_v0.1_快照.json,39 个配方与 39 条温度—黏度曲线一一对应；许可未闭合。
ds_eom_hbond_2021,v0.1_snapshot_eom_hbond,family_eom2021,外部数据/TPU_HBond_2021_Source_Main.xlsx,Eom 2021 TPU氢键Source Data,doi:10.6084/m9.figshare.12936989.v1,TPU 氢键—温度—力学与曲线派生,实验,TPU核心,Gold-E,admitted_reference,72,,,,,53,53,53,19,19,25972,25972,25991,0,0,1,,,,,,入选,1.0,False,0,部分已解析,allow_with_attribution,未见精确重复,需补配方—批次—试样链,v0.1_frozen_source_aggregate,ledger-018-eom-2021-hbond-tpu,数据/快照/TPU数据库_v0.1_快照.json,53 条曲线与 19 个作者标量已冻结；当前仅 16 条拉伸曲线产生 48 个合法派生端点。
ledger_source_114,scope_acs_figshare_31989433_v1,family_co2_copolyester_puu,ACS_Figshare_二氧化碳共聚酯聚氨酯,Recyclable Thermoplastic Poly(urethane-urea)s with Enhanced Mechanical and Adhesive Properties Derived from CO2-Based Copolyesters,doi:10.1021/acsmacrolett.6c00123.s001,配方/合成/力学文献证据,证据,证据,Not-Gold,evidence_only,3,4,4,,,,0,0,0,0,0,0,0,3,0,1,,,,,,仅验证,0.0,False,0,不适用,manual_review,不适用,粗粒度来源家族,source_aggregate_plus_evidence_groups,ledger-114-kong-2026-co2-copolyester-puu-si,数据/原始/外部数据/新增开放数据/ACS_Figshare_二氧化碳共聚酯聚氨酯/内容审计摘要.json,PDF 证据待双人录入
ledger_source_110,scope_acs_figshare_31429142_v1,family_furan_postdynamic_tpu,ACS_Figshare_呋喃高强聚氨酯,"High-Strength, Tough, Furan-Based Polyurethane Elastomers Achieving Performance and Functionality Upgrades through Postdynamic Cross-Linking",doi:10.1021/acs.macromol.5c03627.s001,高强韧/耗散/恢复文献证据,证据,证据,Not-Gold,evidence_only,5,6,6,,,,0,0,0,0,0,0,0,5,0,1,,,,,,仅验证,0.0,False,0,不适用,manual_review,不适用,粗粒度来源家族,source_aggregate_plus_evidence_groups,ledger-110-yang-2026-furan-tpu-si,数据/原始/外部数据/新增开放数据/ACS_Figshare_呋喃高强聚氨酯/内容审计摘要.json,6 个配方线索但无原始重复曲线
ledger_source_116,scope_acs_figshare_32256977_v1,family_co2_polycarbonate_macrodiol_tpu,ACS_Figshare_聚碳酸酯大分子二醇TPU,One-Pot Synthesis of CO2-Based Polycarbonate Macrodiols: (Propylene Carbonate)/(Ethylene Carbonate) Composition Evolution Versus Physicochemical Performance,doi:10.1021/acsapm.6c00646.s001,CO2 基大分子二醇—TPU性能证据,证据,证据,Not-Gold,evidence_only,4,,,,,,0,0,0,0,0,0,0,4,0,1,,,,,,仅验证,0.0,False,0,不适用,manual_review,不适用,粗粒度来源家族,source_aggregate_plus_evidence_groups,ledger-116-zhong-2026-co2-macrodiol-tpu-si,数据/原始/外部数据/新增开放数据/ACS_Figshare_聚碳酸酯大分子二醇TPU/内容审计摘要.json,表头/脚注与重复编号待人工复原
ledger_source_112,scope_acs_figshare_31614502_v1,family_polyimide_upcycled_chain_extender,ACS_Figshare_聚酰亚胺回收链扩剂PU,Upcycling of Polyimide for the Preparation of a High-Performance Polyurethane Chain Extender,doi:10.1021/acsapm.5c04872.s001,回收链扩剂—PU性能证据,证据,证据,Not-Gold,evidence_only,5,5,5,,,,0,0,0,0,0,0,0,5,0,1,,,,,,仅验证,0.0,False,0,不适用,manual_review,不适用,粗粒度来源家族,source_aggregate_plus_evidence_groups,ledger-112-guo-2026-polyimide-chain-extender-si,数据/原始/外部数据/新增开放数据/ACS_Figshare_聚酰亚胺回收链扩剂PU/内容审计摘要.json,5 个配方线索；二手比较表不作本研究样本
ledger_source_118,scope_acs_figshare_32567339_v1,family_hbond_nanostructured_tpe,ACS_Figshare_氢键纳米结构TPU,Design of Sustainable and High Strength-Toughness Thermoplastic Elastomer via a Strong Hydrogen Bond-Reinforced Nanostructure,doi:10.1021/acs.macromol.6c00352.s001,氢键程度—热/力学证据,证据,证据,Not-Gold,evidence_only,4,7,7,,,,0,0,0,0,0,0,0,4,0,1,,,,,,仅验证,0.0,False,0,不适用,manual_review,不适用,粗粒度来源家族,source_aggregate_plus_evidence_groups,ledger-118-wei-2026-hbond-nanostructure-si,数据/原始/外部数据/新增开放数据/ACS_Figshare_氢键纳米结构TPU/内容审计摘要.json,7 个配方线索；破折号必须保留为缺失
ledger_source_106,scope_acs_figshare_29074233_v1,family_tpu_dual_phase_evolution,ACS_Figshare_双相演化聚氨酯,Capturing Robust and Tough Thermoplastic Polyurethane Elastomers via Engineering Dual-Phase Evolution Rather than Chain Extenders,doi:10.1021/acsmaterialslett.5c00732.s001,双相演化—氢键—力学证据,证据,证据,Not-Gold,evidence_only,4,5,5,,,,0,0,0,0,0,0,0,4,0,1,,,,,,仅验证,0.0,False,0,不适用,manual_review,不适用,粗粒度来源家族,source_aggregate_plus_evidence_groups,ledger-106-lu-2025-dual-phase-tpu-si,数据/原始/外部数据/新增开放数据/ACS_Figshare_双相演化聚氨酯/内容审计摘要.json,5 个配方线索；无原始曲线
ledger_source_108,scope_acs_figshare_31333274_v1,family_tpu_scpla_stereocomplex,ACS_Figshare_PLA立构复合TPU,Stiff Yet Elastic Thermoplastic Polyurethanes Based on Nanoconfined Stereocomplexation in PLA Interphases,doi:10.1021/acs.macromol.5c03502.s001,立构复合界面—热/力学证据,证据,证据,Not-Gold,evidence_only,5,11,11,,,,0,0,0,0,0,0,0,5,0,1,,,,,,仅验证,0.0,False,0,不适用,manual_review,不适用,粗粒度来源家族,source_aggregate_plus_evidence_groups,ledger-108-xu-2026-scpla-tpu-si,数据/原始/外部数据/新增开放数据/ACS_Figshare_PLA立构复合TPU/内容审计摘要.json,PCL与10个三嵌段线索；无机器可读力学表
